resort_name, resort_state, resort_terrain, resort_latitude, resort_longitude
Cloudmont-Mentone Ski Area, ALABAMA, Both, 34.54, -85.60333
Cococino XC Ski Trail, ARIZONA, Alpine, 35.36667, -111.96611
Snowbowl Ski Area, ARIZONA, Both, 35.32782, -111.69517
Sunrise Peak Ski Area, ARIZONA, Both, 33.97341, -109.56344
Williams Ski Area, ARIZONA, Both, 35.2106, -112.19241
Alpine Meadows Ski Area, CALIFORNIA, Both, 39.1574, -120.23907
Badger Pass Ski Area, CALIFORNIA, Both, 37.66243, -119.6643
Bear River Resort Ski Area, CALIFORNIA, Both, 38.56102, -120.26461
Bear Valley Ski Area, CALIFORNIA, Both, 38.49213, -120.0446
Big Meadows Nordic Ski Trail, CALIFORNIA, Alpine, 36.69889, -118.84861
Blue Ridge Ski Lift, CALIFORNIA, Both, 34.36917, -117.69194
Boreal Ridge Ski Area, CALIFORNIA, Both, 39.33157, -120.35101
Camp Richardson Cross Country Ski Ar, CALIFORNIA, Alpine, 38.92908, -120.0385
Cedar Pass Ski Area, CALIFORNIA, Both, 41.55598, -120.26104
Chinese Peak Ski Area, CALIFORNIA, Both, 37.22716, -119.15651
Coppervale Ski Tow, CALIFORNIA, Both, 40.34528, -120.90278
Deer Park Ski Area, CALIFORNIA, Both, 39.18657, -120.19907
Dodge Ridge Ski Area, CALIFORNIA, Both, 38.18631, -119.95016
Donner Summit Ski Area, CALIFORNIA, Both, 39.32351, -120.3299
Eagles Peak Ski Area, CALIFORNIA, Both, 39.9735, -120.12046
Gold Mine Ski Area, CALIFORNIA, Both, 34.22642, -116.86447
Granlibakken Ski Area, CALIFORNIA, Both, 39.1549, -120.15628
Green Valley Ski Area, CALIFORNIA, Both, 34.23611, -117.07222
Holiday Hill Ski Lift, CALIFORNIA, Alpine, 34.36472, -117.67833
Homewood Ski Area, CALIFORNIA, Both, 39.0799, -120.16739
June Mountain Ski Area, CALIFORNIA, Both, 37.75133, -119.07263
Kirkwood Ski Area, CALIFORNIA, Both, 38.67824, -120.04294
Kratka Ridge Ski Area, CALIFORNIA, Both, 34.35113, -117.89811
Mount High East Ski Area, CALIFORNIA, Both, 34.36919, -117.67977
Mount High East Ski Area, CALIFORNIA, Alpine, 34.36696, -117.43059
Mount High West Ski Area, CALIFORNIA, Both, 34.37169, -117.69199
Mount High West Ski Area, CALIFORNIA, Alpine, 34.35474, -117.7406
Mount Reba Ski Area, CALIFORNIA, Both, 38.49547, -120.04905
Mount Shasta Ski Park Resort, CALIFORNIA, Both, 41.32222, -122.20194
Mount Waterman Ski Area, CALIFORNIA, Alpine, 34.34613, -117.93367
Mt. Waterman, CALIFORNIA, Cross-Country, 34.34613, -117.93367
North Star Ski Area, CALIFORNIA, Both, 39.25573, -120.12268
Northstar-at-Tahoe Ski Area, CALIFORNIA, Alpine, 39.27323, -120.1024
Powder Bowl Ski Area, CALIFORNIA, Both, 39.18157, -120.20212
Shirley Meadow Ski Area, CALIFORNIA, Both, 35.70915, -118.55925
Sierra Ski Ranch, CALIFORNIA, Both, 38.79694, -120.07806
Silver Basin Ski Area, CALIFORNIA, Both, 38.63241, -120.20767
Ski Echo Tahoe, CALIFORNIA, Both, 38.80667, -120.035
Ski Heil Peak, CALIFORNIA, Both, 40.47278, -121.52111
Snow Forest Ski Area, CALIFORNIA, Alpine, 34.23444, -116.91667
Snow Summit Ski Area, CALIFORNIA, Both, 34.22861, -116.89028
Snow Valley Ski Area, CALIFORNIA, Alpine, 34.21722, -117.03472
Soda Springs Ski Area, CALIFORNIA, Both, 39.31907, -120.38351
Squaw Valley Ski Area, CALIFORNIA, Both, 39.19129, -120.25184
Stover Mountain Ski Area, CALIFORNIA, Both, 40.28931, -121.28938
Sugar Bowl Ski Area, CALIFORNIA, Both, 39.30434, -120.33573
Sunrise Ski Area, CALIFORNIA, Both, 34.38835, -117.68421
Tahoe Donner Ski Area, CALIFORNIA, Both, 39.3524, -120.27157
Tahoe Ski Bowl Area, CALIFORNIA, Both, 39.065, -120.15917
Tamarack Cross Country Ski Center, CALIFORNIA, Alpine, 37.61861, -119.00556
